ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min,Timestamp
Peter Hattrup,DAL,M,7,2,1,0,1,0,0.4,1997
Rafael Amaya,COL,D,7,3,1,0,1,0,0.38,1997
Zico,SJ,F,7,3,1,0,1,0,0.35,1997
Billy Thompson,CLB,M,6,4,1,0,1,0,0.3,1997
Bill Harte,NE,M,9,5,1,1,0,1,0.2,1997
Cristian da Silva,MET,D,14,6,1,0,0,1,0.15,1997
Paul Keegan,NE,F,16,5,1,0,0,1,0.14,1997
Jorge Flores,DAL,M,12,8,1,0,0,1,0.13,1997
Guido,MET,M,9,9,1,0,0,1,0.11,1997
Ezra Hendrickson,LA,D,14,6,1,1,1,0,0.11,1997
Steve Jolley,LA,D,12,10,1,0,1,0,0.1,1997
Oscar Draguicevich,SJ,D,13,10,1,0,1,0,0.1,1997
Braeden Cloutier,MET,M,17,10,1,0,1,0,0.1,1997
Brian Johnson,KC,M,14,10,1,1,0,1,0.09,1997
Joao Batista,TB,M,17,12,1,1,1,0,0.09,1997
Tahj Jakins,COL,D,19,12,1,0,0,1,0.08,1997
Steve Rammel,COL,F,21,11,1,1,1,0,0.08,1997
Thomas Dooley,CLB,D,15,15,1,0,0,1,0.07,1997
Andrew Lewis,MET,M,19,15,1,0,0,1,0.06,1997
Richard Gough,KC,D,17,17,1,0,0,1,0.06,1997
Brandon Pollard,DAL,D,21,16,1,0,1,0,0.06,1997
Wade Webber,DAL,D,18,18,1,0,1,0,0.06,1997
Jorge Rodriguez,DAL,M-D,24,21,1,0,0,1,0.05,1997
Todd Yeagley,CLB,M,27,22,1,0,1,0,0.05,1997
Rhett Harty,MET,D,26,26,1,1,1,0,0.04,1997
John Doyle,SJ,D,27,27,1,0,1,0,0.04,1997
Mark Semioli,LA,D,29,28,1,0,0,1,0.04,1997
Steve Trittschuh,COL,D,29,29,1,0,1,0,0.04,1997
Ted Chronopoulos,NE,D,30,30,1,0,1,0,0.03,1997
Matt McKeon,KC,D,31,30,1,0,0,1,0.03,1997
Diego Gutierrez,KC,D,0,0,0,0,0,0,0,1997
Dionysus Sebwe,KC,D,0,0,0,0,0,0,0,1997
Ike Udeh,KC,F,0,0,0,0,0,0,0,1997
David Moxom,TB,D,0,0,0,0,0,0,0,1997
Esmundo Rodriguez,SJ,M,1,0,0,0,0,0,0,1997
Greg Lalas,NE,D,2,0,0,0,0,0,0,1997
Gabe Jones,DAL,F,1,0,0,0,0,0,0,1997
Nino Da Silva,KC,F,1,0,0,0,0,0,0,1997
Jamel Mitchell,KC,M,1,0,0,0,0,0,0,1997
Ubusuku Abukusumo,CLB,D,1,0,0,0,0,0,0,1997
