ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Nelson Akwari,CLB,2,11,5,0,0,0,0,0,2003
Philip Salyer,DAL,2,8,5,0,0,0,0,0,2003
Daniel Torres,CLB,2,8,6,0,0,0,0,0,2003
Joseph Addo,MET,2,8,7,0,0,0,0,0,2003
Tim Regan,MET,2,15,7,0,0,0,0,0,2003
Juan Forchetti,MET,2,10,8,0,0,0,0,0,2003
Matt Behncke,DAL,2,13,9,0,0,0,0,0,2003
Chris Leitch,MET,2,15,10,0,0,0,0,0,2003
Edgar Bartolomeu,MET,2,13,11,0,0,0,0,0,2003
Chad McCarty,CLB,2,19,14,0,0,0,0,0,2003
Alex Zotinca,KC,2,20,14,0,0,0,0,0,2003
Shavar Thomas,DAL,2,15,14,0,0,0,0,0,2003
Daouda Kante,NE,2,16,14,0,0,0,0,0,2003
Ryan Suarez,DAL,2,15,15,0,0,0,0,0,2003
Steve Morrow,DAL,2,17,17,0,0,0,0,0,2003
Diego Gutierrez,KC,2,20,17,0,0,0,0,0,2003
Orlando Perez,CHI,2,21,18,0,0,0,0,0,2003
Duncan Oughton,CLB,2,23,18,0,0,0,0,0,2003
Tenywa Bonseu,DAL,2,20,20,0,0,0,0,0,2003
Rusty Pierce,NE,2,21,21,0,0,0,0,0,2003
Carlos Llamosa,NE,2,24,23,0,0,0,0,0,2003
Steve Jolley,MET,2,24,23,0,0,0,0,0,2003
Ryan Nelsen,DC,2,25,25,0,0,0,0,0,2003
Mike Petke,DC,2,25,25,0,0,0,0,0,2003
Brandon Prideaux,DC,2,28,27,0,0,0,0,0,2003
Nick Garcia,KC,2,29,29,0,0,0,0,0,2003
Tony Sanneh,CLB,2,6,6,1,0,1,0,0.18,2004
Orlando Perez,CHI,2,17,13,1,0,1,0,0.08,2004
Evan Whitfield,CHI,2,23,19,1,0,0,1,0.05,2004
Carey Talley,DAL,2,23,19,1,1,1,0,0.05,2004
Chris Gbandi,DAL,2,23,20,1,0,0,1,0.05,2004
Cory Gibbs,DAL,2,21,21,1,0,1,0,0.05,2004
Jose Burciaga Jr.,KC,2,24,21,1,0,1,0,0.05,2004
Duncan Oughton,CLB,2,28,21,1,0,1,0,0.04,2004
C.J. Brown,CHI,2,24,24,1,1,1,0,0.04,2004
Nick Garcia,KC,2,26,26,1,0,1,0,0.04,2004
Jeff Parke,MET,2,28,27,1,0,1,0,0.04,2004
Jim Curtin,CHI,2,30,30,1,0,0,1,0.03,2004
David Wagenfuhr,DAL,2,0,0,0,0,0,0,0,2004
Brian Roberts,KC,2,0,0,0,0,0,0,0,2004
Seth Stammler,MET,3,1,0,0,0,0,0,0,2004
Jake Traeger,CLB,2,1,0,0,0,0,0,0,2004
G.R. Cannon,DC,2,1,0,0,0,0,0,0,2004
Vuk Rasovic,KC,2,1,1,0,0,0,0,0,2004
Steve Howey,NE,2,3,3,0,0,0,0,0,2004
Daouda Kante,NE,2,4,3,0,0,0,0,0,2004
Clarence Goodson,DAL,2,5,2,0,0,0,0,0,2004
Leonard Griffin,CHI,2,9,3,0,0,0,0,0,2004
David Stokes,DC,2,11,3,0,0,0,0,0,2004
Denny Clanton,CHI,2,10,6,0,0,0,0,0,2004
Tim Regan,MET,2,12,7,0,0,0,0,0,2004
Stephen Herdsman,CLB,2,8,8,0,0,0,0,0,2004
Pablo Brenes,MET,3,14,5,0,0,0,0,0,2004
Kenny Arena,MET,2,10,8,0,0,0,0,0,2004
Taylor Graham,KC,2,17,7,0,0,0,0,0,2004
Ezra Hendrickson,DC,2,12,8,0,0,0,0,0,2004
Milton Reyes,DAL,3,12,9,0,0,0,0,0,2004
Tenywa Bonseu,MET,2,14,13,0,0,0,0,0,2004
Rusty Pierce,NE,2,14,13,0,0,0,0,0,2004
Matt Behncke,DAL,2,17,14,0,0,0,0,0,2004
Nelson Akwari,CLB,2,19,16,0,0,0,0,0,2004
Philip Salyer,DAL,2,17,16,0,0,0,0,0,2004
Ryan Nelsen,DC,2,17,17,0,0,0,0,0,2004
Brandon Prideaux,DC,2,23,16,0,0,0,0,0,2004
Frankie Hejduk,CLB,2,20,19,0,0,0,0,0,2004
Alex Zotinca,KC,2,25,20,0,0,0,0,0,2004
Avery John,NE,2,21,19,0,0,0,0,0,2004
Shavar Thomas,KC,2,25,22,0,0,0,0,0,2004
Eddie Pope,MET,2,22,22,0,0,0,0,0,2004
Mike Petke,DC,2,26,23,0,0,0,0,0,2004
Kelly Gray,CHI,3,25,23,0,0,0,0,0,2004
Steve Jolley,DAL,2,28,28,0,0,0,0,0,2004
Robin Fraser,CLB,2,28,28,0,0,0,0,0,2004
Jimmy Conrad,KC,2,29,29,0,0,0,0,0,2004
Brian Roberts,KC,2,11,3,1,0,0,1,0.27,2005
Seth Stammler,MET,3,10,3,1,1,0,1,0.25,2005
David Stokes,DC,2,10,3,1,1,1,0,0.23,2005
Tony Sanneh,CHI,2,12,11,1,0,1,0,0.09,2005
Alex Zotinca,KC,2,16,13,1,0,0,1,0.08,2005
Avery John,NE,2,14,13,1,0,1,0,0.08,2005
Bryan Namoff,DC,2,17,15,1,0,1,0,0.07,2005
Samuel Caballero,CHI,2,17,16,1,0,1,0,0.06,2005
Aaron Pitchkolan,DAL,2,20,15,1,0,0,1,0.06,2005
Chris Gbandi,DAL,2,17,17,1,0,1,0,0.06,2005
Mark Schulte,CLB,2,19,18,1,0,0,1,0.06,2005
Jeff Parke,MET,2,21,19,1,0,1,0,0.06,2005
Greg Vanney,DAL,2,25,25,1,0,1,0,0.04,2005
Chris Leitch,MET,2,28,26,1,0,0,1,0.04,2005
Bobby Boswell,DC,2,27,26,1,1,1,0,0.04,2005
Clarence Goodson,DAL,2,29,28,1,1,1,0,0.04,2005
Tony Lochhead,NE,2,0,0,0,0,0,0,0,2005
Duncan Oughton,CLB,2,0,0,0,0,0,0,0,2005
Mamadou Diallo,MET,2,0,0,0,0,0,0,0,2005
Daniel Dobson,KC,2,0,0,0,0,0,0,0,2005
Hollis Donaldson,CHI,2,0,0,0,0,0,0,0,2005
Kenny Arena,DC,2,0,0,0,0,0,0,0,2005
Stephen deRoux,DC,3,0,0,0,0,0,0,0,2005
Tim Merritt,DC,2,0,0,0,0,0,0,0,2005
Jared Montz,CHI,2,0,0,0,0,0,0,0,2005
Winston Marshall,DAL,2,0,0,0,0,0,0,0,2005
Dustin Branan,KC,2,1,0,0,0,0,0,0,2005
Ryan Raybould,KC,3,1,0,0,0,0,0,0,2005
Alex Yi,DAL,2,1,1,0,0,0,0,0,2005
Leonard Griffin,CHI,2,3,2,0,0,0,0,0,2005
Will Johnson,ORL,2,6,1,0,0,0,0,0,2005
Philip Salyer,DAL,2,2,2,0,0,0,0,0,2005
Jason Hernandez,MET,2,3,3,0,0,0,0,0,2005
Ryan Kelly,CLB,2,7,3,0,0,0,0,0,2005
Jack Stewart,CHI,2,9,3,0,0,0,0,0,2005
Stephen Herdsman,CLB,2,7,7,0,0,0,0,0,2005
Facundo Erpen,DC,2,8,8,0,0,0,0,0,2005
Drew Moor,TOR,2,20,9,0,0,0,0,0,2005
Steve Jolley,DAL,2,13,12,0,0,0,0,0,2005
Frankie Hejduk,CLB,2,18,15,0,0,0,0,0,2005
Tim Regan,MET,2,20,18,0,0,0,0,0,2005
Chris Wingert,CLB,2,27,20,0,0,0,0,0,2005
Carlos Mendes,MET,2,24,21,0,0,0,0,0,2005
Shavar Thomas,KC,2,25,24,0,0,0,0,0,2005
Jeff Agoos,MET,2,25,25,0,0,0,0,0,2005
Brandon Prideaux,DC,2,29,28,0,0,0,0,0,2005
